matricula,sexo,nacionalidad,lugar_nacimiento,fecha_nacimiento,tipo_ingreso,colonia,escuela_procedencia,ubicacion_escuela_procedencia,nivel,carrera,turno,ciclo
UVA20247869,M,Mexicana,,2004-01-24,Equivalencia,Centro,Prepa Abierta,Umán,Licenciatura,Lic. en Derecho,Matutino,2023-A
UVA20249108,F,Mexicana,,,Repetidor,Chuburná,nan,Kanasín,Ingeniería,Ing. Civil,Vespertino,Agosto-Diciembre
UVA20249179,F,Mexicana,Cancún,1995-04-27,Nuevo,Chuburná,CBTIS 95,Umán,Licenciatura,Lic. en Odontología,Matutino,Enero-Junio
UVA20247766,M,Mexicana,Cancún,,Repetidor,Chuburná,CBTIS 95,"Mérida, Yucatán",Ingeniería,Lic. en Criminología,Vespertino,2023-A
UVA20242689,F,Mexicana,Cancún,2005-10-05,Repetidor,CENTRO,CBTIS 95,Umán,Licenciatura,Lic. en Odontología,Matutino,2023-A
UVA20245851,M,Mexicana,,,Repetidor,Chuburná,nan,Tizimín,Licenciatura,Lic. en Educación,Matutino,2024-B
UVA20246266,,Mexicana,Tizimín,,Nuevo,CENTRO,CBTIS 95,Umán,Ingeniería,Lic. en Psicología,Vespertino,Enero-Junio
UVA20241400,F,Mexicana,Mérida,,Nuevo,nan,Prepa Abierta,nan,Ingeniería,Lic. en Fisioterapia,Vespertino,Agosto-Diciembre
UVA20246517,F,Mexicana,Mérida,,Nuevo,Chuburná,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Derecho,Vespertino,Enero-Junio
UVA20244131,M,Mexicana,Mérida,,Repetidor,CENTRO,Prepa Abierta,nan,Ingeniería,Lic. en Gastronomía,Vespertino,2023-A
UVA20246055,,Mexicana,Cancún,,Equivalencia,Itzimná,CONALEP Mérida,"Mérida, Yucatán",Licenciatura,Lic. en Educación,Matutino,Agosto-Diciembre
UVA20245698,F,Mexicana,Cancún,,Reinscrito,Centro,CBTIS 95,"Mérida, Yucatán",Ingeniería,Lic. en Psicología,Vespertino,2024-B
UVA20248991,F,Mexicana,Valladolid,,Nuevo,Centro,CONALEP Mérida,Umán,Ingeniería,Ing. en Procesos de Manufactura,Matutino,Agosto-Diciembre
UVA20246842,F,Mexicana,Tizimín,,Reinscrito,Francisco de Montejo,nan,Tizimín,Licenciatura,Lic. en Psicología,Matutino,Agosto-Diciembre
UVA20247063,F,Mexicana,Tizimín,,Reinscrito,centro,nan,nan,Licenciatura,Ing. en Procesos de Manufactura,Vespertino,Agosto-Diciembre
UVA20247969,F,Mexicana,Mérida,,Reinscrito,Chuburná,nan,"Mérida, Yucatán",Licenciatura,Lic. en Psicología,Vespertino,2024-B
UVA20249456,F,Mexicana,Cancún,2000-09-07,Nuevo,Itzimná,nan,Umán,Ingeniería,Lic. en Diseño de Modas,Vespertino,Agosto-Diciembre
UVA20245792,M,Mexicana,Mérida,1995-03-24,Repetidor,Centro,Prepa Abierta,"Mérida, Yucatán",Licenciatura,Lic. en Psicología,Matutino,Agosto-Diciembre
UVA20245382,M,Mexicana,Valladolid,2003-06-13,Equivalencia,Chuburná,Prepa Abierta,nan,Ingeniería,Ing. Civil,Matutino,2023-A
UVA20245330,F,Mexicana,Tizimín,,Repetidor,Chuburná,nan,Umán,Ingeniería,Ing. en Procesos de Manufactura,Vespertino,2024-B
UVA20244207,M,Mexicana,Valladolid,,Repetidor,Itzimná,Preparatoria Estatal No. 1,Umán,Licenciatura,Lic. en Criminología,Matutino,Agosto-Diciembre
UVA20249988,,Mexicana,Cancún,,Reinscrito,Centro,nan,Tizimín,Ingeniería,Lic. en Criminología,Matutino,Enero-Junio
UVA20244329,M,Mexicana,Valladolid,,Equivalencia,Chuburná,nan,nan,Licenciatura,Lic. en Odontología,Vespertino,Enero-Junio
UVA20249139,F,Mexicana,Tizimín,,Repetidor,Centro,Prepa Abierta,Umán,Ingeniería,Lic. en Fisioterapia,Matutino,2024-B
UVA20242675,F,Mexicana,Tizimín,,Equivalencia,nan,CONALEP Mérida,Kanasín,Ingeniería,Lic. en Diseño de Modas,Matutino,Agosto-Diciembre
UVA20248017,,Mexicana,,1997-05-19,Reinscrito,Itzimná,Preparatoria Estatal No. 1,Tizimín,Licenciatura,Lic. en Derecho,Vespertino,Agosto-Diciembre
UVA20242325,F,Mexicana,Tizimín,,Reinscrito,nan,Prepa Abierta,Kanasín,Licenciatura,Lic. en Contabilidad,Matutino,Agosto-Diciembre
UVA20249517,F,Mexicana,,1996-03-22,Equivalencia,Itzimná,Prepa Abierta,nan,Licenciatura,Lic. en Gastronomía,Matutino,Agosto-Diciembre
UVA20245861,F,Mexicana,Mérida,,Reinscrito,nan,Prepa Abierta,"Mérida, Yucatán",Licenciatura,Ing. Civil,Vespertino,Enero-Junio
UVA20244443,M,Mexicana,Cancún,,Nuevo,Chuburná,CBTIS 95,"Mérida, Yucatán",Licenciatura,Ing. Civil,Matutino,2023-A
