matricula,sexo,nacionalidad,lugar_nacimiento,fecha_nacimiento,tipo_ingreso,colonia,escuela_procedencia,ubicacion_escuela_procedencia,nivel,carrera,turno,ciclo
UVA20207685,,Mexicana,Tizimín,2000-06-01,Reinscrito,Francisco de Montejo,nan,"Mérida, Yucatán",Ingeniería,Lic. en Admin. de Empresas,Matutino,2024-B
UVA20208740,M,Mexicana,Tizimín,,Equivalencia,Itzimná,nan,Umán,Licenciatura,Lic. en Educación,Vespertino,2023-A
UVA20208433,M,Mexicana,Mérida,,Equivalencia,Francisco de Montejo,Prepa Abierta,Tizimín,Ingeniería,Ing. Civil,Matutino,2023-A
UVA20202032,F,Mexicana,Cancún,,Repetidor,centro,nan,"Mérida, Yucatán",Licenciatura,Lic. en Enfermería,Matutino,2024-B
UVA20208326,M,Mexicana,Tizimín,,Reinscrito,centro,nan,"Mérida, Yucatán",Licenciatura,Ing. en Procesos de Manufactura,Matutino,2023-A
UVA20209135,M,Mexicana,Tizimín,,Reinscrito,nan,nan,Kanasín,Ingeniería,Lic. en Diseño de Modas,Matutino,Agosto-Diciembre
UVA20201384,M,Mexicana,,,Reinscrito,Itzimná,nan,Kanasín,Licenciatura,Lic. en Admin. de Empresas,Vespertino,2024-B
UVA20207433,M,Mexicana,Mérida,1996-10-08,Equivalencia,nan,CBTIS 95,"Mérida, Yucatán",Licenciatura,Lic. en Derecho,Vespertino,Agosto-Diciembre
UVA20204928,,Mexicana,,,Repetidor,centro,Preparatoria Estatal No. 1,Tizimín,Licenciatura,Lic. en Contabilidad,Vespertino,Enero-Junio
UVA20206160,,Mexicana,Mérida,,Equivalencia,nan,Prepa Abierta,Kanasín,Ingeniería,Lic. en Diseño de Modas,Vespertino,2023-A
UVA20204289,F,Mexicana,,1995-01-11,Nuevo,Itzimná,nan,"Mérida, Yucatán",Ingeniería,Lic. en Odontología,Matutino,2024-B
UVA20202753,F,Mexicana,Mérida,,Nuevo,nan,nan,Kanasín,Licenciatura,Lic. en Contabilidad,Vespertino,Agosto-Diciembre
UVA20203944,F,Mexicana,,2000-03-06,Repetidor,Itzimná,CBTIS 95,Kanasín,Ingeniería,Lic. en Odontología,Matutino,2023-A
UVA20201875,F,Mexicana,Valladolid,,Nuevo,Francisco de Montejo,Prepa Abierta,Kanasín,Licenciatura,Ing. Civil,Matutino,2024-B
UVA20209821,F,Mexicana,Valladolid,,Reinscrito,Centro,nan,Kanasín,Licenciatura,Lic. en Contabilidad,Matutino,Enero-Junio
UVA20204651,F,Mexicana,Valladolid,,Nuevo,centro,Prepa Abierta,Kanasín,Ingeniería,Lic. en Psicología,Vespertino,Enero-Junio
UVA20203330,F,Mexicana,,,Repetidor,CENTRO,Prepa Abierta,Kanasín,Ingeniería,Lic. en Derecho,Vespertino,2023-A
UVA20208485,,Mexicana,Valladolid,,Reinscrito,Chuburná,Preparatoria Estatal No. 1,Umán,Ingeniería,Lic. en Nutrición,Vespertino,2023-A
UVA20202920,M,Mexicana,Valladolid,,Equivalencia,nan,CONALEP Mérida,Umán,Ingeniería,Lic. en Criminología,Matutino,Enero-Junio
UVA20201533,F,Mexicana,Mérida,,Nuevo,CENTRO,Preparatoria Estatal No. 1,Kanasín,Licenciatura,Lic. en Gastronomía,Matutino,Enero-Junio
UVA20205630,M,Mexicana,Valladolid,,Repetidor,Centro,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Lic. en Psicología,Matutino,2023-A
UVA20204182,M,Mexicana,Tizimín,,Nuevo,Chuburná,Preparatoria Estatal No. 1,Kanasín,Ingeniería,Lic. en Admin. de Empresas,Matutino,Agosto-Diciembre
UVA20201597,,Mexicana,Valladolid,,Reinscrito,nan,nan,"Mérida, Yucatán",Ingeniería,Lic. en Contabilidad,Matutino,Agosto-Diciembre
UVA20206453,M,Mexicana,Cancún,2000-09-09,Repetidor,CENTRO,Preparatoria Estatal No. 1,Tizimín,Ingeniería,Lic. en Derecho,Vespertino,2023-A
UVA20206281,F,Mexicana,Valladolid,,Equivalencia,Chuburná,CBTIS 95,Kanasín,Ingeniería,Lic. en Enfermería,Matutino,Enero-Junio
UVA20202711,M,Mexicana,Mérida,,Reinscrito,Chuburná,Preparatoria Estatal No. 1,"Mérida, Yucatán",Ingeniería,Lic. en Educación,Vespertino,Agosto-Diciembre
