matricula,sexo,nacionalidad,lugar_nacimiento,fecha_nacimiento,tipo_ingreso,colonia,escuela_procedencia,modalidad,ubicacion_escuela_procedencia,nivel,carrera,turno,ciclo
1812039,M,MX,San Lorenzo,02-05-1996,Repetidor,Wallis,INSTITUTO FELTON,Escolarizada,"Calle 47-A #274 y 276 x 46 y 48 Fracc, Francisco de Montejo, 97203 Mérida, Yuc.",Licenciatura,Contaduría Pública Escolar,MAT,Enero-Abril
1812015,Masculino,Mexicana,Michoacán,2004-07-29,Repetidor,Xoclán,MEXICANA DEL MAYAB,Escolarizada,"Calle 61 322, 97169 Mérida, Yucatán",LIC,Contaduría Pública Escolar,Vespertino,Mayo-Agosto
1817019,Fem,MX,Aguascalientes,03-20-2000,Reinscrito,Altabrisa,PREPARATORIA MEXICO,Escolarizada,"C. 72 453, 97000 Mérida, Yucatán",LIC,Odontología,VESP,Agosto-Diciembre
1835020,Fem,México,Monterrey,2001-05-14,Equivalencia,Temozón Norte,ACUERDO 286,Mixto/Sabatino,NA,LIC,Derecho MIX,MAT,Enero-Abril
1810007,H,mexicano,Tabasco,05/09/2000,Reinscrito,Juan Pablo II,BACHILLERATO EN LINEA UADY,Escolarizada,NA,Licenciatura,Fisioterapia Escolar,VESP,Septiembre-Diciembre
1808032,Masculino,mexicano,Yucatán,2003-06-04,Repetidor,Mulsay,PREPARATORIA MUNA,Escolarizada,"Calle 19, colonia Ninguno, municipio Muna, Yucatán, C.P. 97840",Licenciatura,Derecho Escolar,MAT,Septiembre-Diciembre
1817047,M,Mexicana,Campeche,05/05/2000,Reinscrito,Temozón Norte,INSTITUTO MEXICO,Escolarizada,"Calle 50 290, Roma, 97218 Mérida, Yucatán",Licenciatura,Odontología,MAT,Enero-Junio
1817013,M,MX,Chiapas,1995-07-28,Equivalencia,Chuburná de Hidalgo,CETIS 112,Escolarizada,"C. 55 No. 728, Pacabtún, 97160 Mérida, Yuc.",LIC,Odontología,MAT,Agosto-Diciembre
1809026,Fem,MX,Chihuahua,14/06/2001,Nuevo,México,CENTRO EDUCATIVO MARIA GONZALEZ PALMA,Escolarizada,"C. 50 454, Centro, 97000 Mérida, Yuc.",LIC,Enfermería Escolar,MAT,Enero-Abril
1817041,M,mexicano,Puebla,1996-08-15,Nuevo,Salvador Alvarado Sur,PRONACE,Escolarizada,"Calle 62 #685 x 45 y 43, Fracc. Pedregales, C.P. 97300, Cd. Caucel",LIC,Odontología,Vespertino,Enero-Junio
